Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0603_1608Metric,110.183954,-37.04414,315,bottom
C2,22pF,C_0603_1608Metric,104.571294,-42.6568,135,bottom
C3,100nF,C_0603_1608Metric,121.44375,-54.76875,225,bottom
C4,100nF,C_0603_1608Metric,107.95,-54.76875,135,bottom
C5,10uF,C_0805_2012Metric,119.85625,-40.48125,135,bottom
D1,3.6V,D_SOD-123,118.26875,-27.78125,90,bottom
D2,3.6V,D_SOD-123,115.8875,-27.78125,90,bottom
D3,1N4148,D_SOD-123,26.19375,-21.43125,90,bottom
D4,1N4148,D_SOD-123,45.24375,-24.60625,90,bottom
D5,1N4148,D_SOD-123,64.29375,-27.78125,90,bottom
D6,1N4148,D_SOD-123,83.34375,-31.75,90,bottom
D7,1N4148,D_SOD-123,102.39375,-33.3375,90,bottom
D8,1N4148,D_SOD-123,140.49375,-28.575,90,bottom
D9,1N4148,D_SOD-123,159.54375,-24.60625,90,bottom
D10,1N4148,D_SOD-123,178.59375,-21.43125,90,bottom
D11,1N4148,D_SOD-123,198.4375,-21.43125,90,bottom
D12,1N4148,D_SOD-123,217.4875,-21.43125,90,bottom
D13,1N4148,D_SOD-123,26.19375,-40.48125,90,bottom
D14,1N4148,D_SOD-123,46.83125,-44.45,90,bottom
D15,1N4148,D_SOD-123,65.0875,-47.625,90,bottom
D16,1N4148,D_SOD-123,84.1375,-50.8,90,bottom
D17,1N4148,D_SOD-123,102.39375,-53.18125,90,bottom
D18,1N4148,D_SOD-123,148.43125,-46.83125,90,bottom
D19,1N4148,D_SOD-123,167.48125,-43.65625,90,bottom
D20,1N4148,D_SOD-123,185.7375,-40.48125,90,bottom
D21,1N4148,D_SOD-123,212.725,-40.48125,90,bottom
D22,1N4148,D_SOD-123,26.19375,-59.53125,90,bottom
D23,1N4148,D_SOD-123,51.59375,-64.29375,90,bottom
D24,1N4148,D_SOD-123,70.64375,-67.46875,90,bottom
D25,1N4148,D_SOD-123,88.9,-70.64375,90,bottom
D26,1N4148,D_SOD-123,107.95,-74.6125,90,bottom
D27,1N4148,D_SOD-123,142.08125,-66.675,90,bottom
D28,1N4148,D_SOD-123,161.13125,-63.5,90,bottom
D29,1N4148,D_SOD-123,180.18125,-60.325,90,bottom
D30,1N4148,D_SOD-123,202.40625,-59.53125,90,bottom
D31,1N4148,D_SOD-123,205.58125,-59.53125,90,bottom
D32,1N4148,D_SOD-123,24.60625,-76.99375,90,bottom
D33,1N4148,D_SOD-123,60.325,-82.55,90,bottom
D34,1N4148,D_SOD-123,101.6,-90.4875,90,bottom
D35,1N4148,D_SOD-123,161.13125,-80.9625,90,bottom
D36,1N4148,D_SOD-123,184.94375,-76.99375,90,bottom
D37,1N4148,D_SOD-123,200.025,-76.99375,90,bottom
F1,500mA,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,107.15625,-33.3375,0,bottom
J1,ai03_Daughterboard_Connector,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,111.91875,-21.43125,0,bottom
MX11,MX-NoLED,MXOnly-1U-Hotswap-NoLED,16.1925,-14.2875,0,bottom
MX12,MX-NoLED,MXOnly-1U-Hotswap-NoLED,36.766529,-15.241642,350,bottom
